# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
144,Right Cerebrum.Frontal Lobe.Rectal Gyrus.*.*
145,Right Cerebrum.Frontal Lobe.Rectal Gyrus.Gray Matter.Brodmann area 11
146,Left Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 47
147,Right Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 47
148,Left Cerebrum.Frontal Lobe.Rectal Gyrus.White Matter.*
149,Right Cerebrum.Frontal Lobe.Rectal Gyrus.White Matter.*
150,Inter-Hemispheric.*.Rectal Gyrus.*.*
151,Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.*.*
152,Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.Gray Matter.Brodmann area 11
153,Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.Gray Matter.Brodmann area 11
154,Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.*.*
155,Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.White Matter.*
156,Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.White Matter.*
157,Left Cerebellum.Posterior Lobe.Declive.Gray Matter.*
158,Right Cerebellum.Posterior Lobe.Declive.Gray Matter.*
159,Left Cerebellum.Posterior Lobe.Declive of Vermis.Gray Matter.*
160,Right Cerebellum.Posterior Lobe.Declive of Vermis.Gray Matter.*
161,Left Cerebellum.Posterior Lobe.*.Gray Matter.Dentate
162,Left Cerebellum.Posterior Lobe.Fastigium.Gray Matter.*
163,Right Cerebellum.Anterior Lobe.Fastigium.Gray Matter.*
164,Right Cerebellum.Posterior Lobe.*.Gray Matter.Dentate
165,Left Cerebellum.Anterior Lobe.Fastigium.Gray Matter.*
166,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 36
167,Right Cerebrum.*.Fusiform Gyrus.Gray Matter.Brodmann area 20
168,*.Temporal Lobe.Fusiform Gyrus.*.*
169,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 28
170,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 28
171,Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 20
172,Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 20
173,Left Cerebrum.Sub-lobar.Lateral Ventricle.Cerebro-Spinal Fluid.*
174,Right Cerebrum.Sub-lobar.Lateral Ventricle.Cerebro-Spinal Fluid.*
175,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Hippocampus
176,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Hippocampus
177,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 34
178,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 34
179,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 34
180,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 34
181,Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Amygdala
182,Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Amygdala
183,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Amygdala
184,*.*.Inferior Frontal Gyrus.*.*
185,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 47
186,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.*.*
187,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.*.*
188,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 47
189,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.White Matter.*
190,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.White Matter.*
191,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 11
192,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 11
193,Left Cerebrum.Frontal Lobe.Sub-Gyral.White Matter.*
194,Right Cerebrum.Frontal Lobe.Sub-Gyral.White Matter.*
195,Left Cerebrum.Frontal Lobe.Middle Frontal Gyrus.White Matter.*
196,Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.White Matter.*
197,Left Cerebrum.Frontal Lobe.Middle Frontal Gyrus.Gray Matter.Brodmann area 11
198,Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.Gray Matter.Brodmann area 11
199,Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.*.*
200,Right Cerebrum.*.Orbital Gyrus.*.*
201,Right Cerebrum.*.Superior Frontal Gyrus.*.*
202,Left Cerebrum.Occipital Lobe.Fusiform Gyrus.*.*
203,Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 18
204,Right Cerebrum.Occipital Lobe.Fusiform Gyrus.*.*
205,Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 18
206,Left Cerebrum.Occipital Lobe.Fusiform Gyrus.White Matter.*
207,Right Cerebrum.Occipital Lobe.Fusiform Gyrus.White Matter.*
208,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37
209,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37
210,Right Cerebrum.*.Fusiform Gyrus.*.*
211,Left Cerebellum.Anterior Lobe.Cerebellar Lingual.Gray Matter.*
212,Right Cerebellum.Anterior Lobe.Cerebellar Lingual.Gray Matter.*
213,Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 37
214,Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 37
215,Left Brainstem.Midbrain.*.*.*
216,Right Brainstem.Midbrain.*.*.*
217,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 20
218,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 20
219,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Amygdala
220,*.*.*.White Matter.*
221,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 38
222,Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 38
223,Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.*.*
224,Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.*.*
225,Left Cerebrum.Frontal Lobe.Superior Temporal Gyrus.*.*
226,Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 25
227,Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 25
228,Right Cerebrum.Frontal Lobe.Superior Temporal Gyrus.*.*
229,Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.*.*
230,Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.White Matter.*
231,Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.White Matter.*
232,Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.*.*
233,Left Cerebrum.Frontal Lobe.Middle Frontal Gyrus.*.*
234,Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 25
235,Left Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 11
236,Right Cerebrum.Frontal Lobe.Medial Frontal Gyrus.Gray Matter.Brodmann area 11
237,Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 25
238,Left Cerebrum.Occipital Lobe.Lingual Gyrus.*.*
239,*.*.Lingual Gyrus.*.*
240,*.Occipital Lobe.*.*.*
241,*.Occipital Lobe.Lingual Gyrus.*.*
242,Left Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 17
243,Inter-Hemispheric.Occipital Lobe.Lingual Gyrus.*.*
244,Right Cerebrum.Occipital Lobe.Lingual Gyrus.*.*
245,Right Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 17
246,Left Cerebrum.Occipital Lobe.*.*.*
247,Left Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 18
248,Right Cerebrum.Occipital Lobe.*.*.*
